"Date","Time (LST)","Predicted (m)","Preliminary (m)","Verified (m)"
"2022/06/15","00:00","1.56","-","1.577"
"2022/06/15","01:00","1.063","-","1.077"
"2022/06/15","02:00","0.516","-","0.527"
"2022/06/15","03:00","0.015","-","0.031"
"2022/06/15","04:00","-0.353","-","-0.319"
"2022/06/15","05:00","-0.524","-","-0.514"
"2022/06/15","06:00","-0.478","-","-0.434"
"2022/06/15","07:00","-0.239","-","-0.202"
"2022/06/15","08:00","0.126","-","0.172"
"2022/06/15","09:00","0.529","-","0.546"
"2022/06/15","10:00","0.88","-","0.902"
"2022/06/15","11:00","1.116","-","1.136"
"2022/06/15","12:00","1.212","-","1.224"
"2022/06/15","13:00","1.183","-","1.192"
"2022/06/15","14:00","1.076","-","1.076"
"2022/06/15","15:00","0.955","-","0.953"
"2022/06/15","16:00","0.885","-","0.874"
"2022/06/15","17:00","0.914","-","0.921"
"2022/06/15","18:00","1.064","-","1.076"
"2022/06/15","19:00","1.316","-","1.337"
"2022/06/15","20:00","1.618","-","1.62"
"2022/06/15","21:00","1.891","-","1.914"
"2022/06/15","22:00","2.054","-","2.088"
"2022/06/15","23:00","2.046","-","2.071"
"2022/06/16","00:00","1.842","-","1.863"
"2022/06/16","01:00","1.461","-","1.486"
"2022/06/16","02:00","0.961","-","0.986"
"2022/06/16","03:00","0.425","-","0.458"
"2022/06/16","04:00","-0.052","-","-0.014"
"2022/06/16","05:00","-0.388","-","-0.349"
"2022/06/16","06:00","-0.524","-","-0.484"
"2022/06/16","07:00","-0.446","-","-0.415"
"2022/06/16","08:00","-0.185","-","-0.152"
"2022/06/16","09:00","0.19","-","0.235"
"2022/06/16","10:00","0.588","-","0.632"
"2022/06/16","11:00","0.927","-","0.976"
"2022/06/16","12:00","1.15","-","1.196"
"2022/06/16","13:00","1.236","-","1.27"
"2022/06/16","14:00","1.202","-","1.246"
"2022/06/16","15:00","1.094","-","1.115"
"2022/06/16","16:00","0.975","-","1.005"
"2022/06/16","17:00","0.907","-","0.937"
"2022/06/16","18:00","0.935","-","0.98"
"2022/06/16","19:00","1.078","-","1.106"
"2022/06/16","20:00","1.314","-","1.352"
"2022/06/16","21:00","1.59","-","1.642"
"2022/06/16","22:00","1.831","-","1.859"
"2022/06/16","23:00","1.964","-","1.987"
"2022/06/17","00:00","1.933","-","1.981"
"2022/06/17","01:00","1.722","-","1.771"
"2022/06/17","02:00","1.35","-","1.384"
"2022/06/17","03:00","0.873","-","0.918"
"2022/06/17","04:00","0.372","-","0.419"
"2022/06/17","05:00","-0.064","-","-0.005"
"2022/06/17","06:00","-0.358","-","-0.302"
"2022/06/17","07:00","-0.457","-","-0.386"
"2022/06/17","08:00","-0.355","-","-0.291"
"2022/06/17","09:00","-0.084","-","-0.031"
"2022/06/17","10:00","0.284","-","0.331"
"2022/06/17","11:00","0.668","-","0.684"
"2022/06/17","12:00","0.989","-","1.032"
"2022/06/17","13:00","1.196","-","1.242"
"2022/06/17","14:00","1.271","-","1.298"
"2022/06/17","15:00","1.23","-","1.24"
"2022/06/17","16:00","1.118","-","1.14"
"2022/06/17","17:00","0.994","-","1.002"
"2022/06/17","18:00","0.917","-","0.913"
"2022/06/17","19:00","0.93","-","0.943"
"2022/06/17","20:00","1.049","-","1.073"
"2022/06/17","21:00","1.253","-","1.275"
"2022/06/17","22:00","1.492","-","1.506"
"2022/06/17","23:00","1.699","-","1.737"
"2022/06/18","00:00","1.808","-","1.847"
"2022/06/18","01:00","1.772","-","1.793"
"2022/06/18","02:00","1.575","-","1.613"
"2022/06/18","03:00","1.235","-","1.287"
"2022/06/18","04:00","0.804","-","0.859"
"2022/06/18","05:00","0.357","-","0.37"
"2022/06/18","06:00","-0.026","-","0.041"
"2022/06/18","07:00","-0.271","-","-0.233"
"2022/06/18","08:00","-0.337","-","-0.306"
"2022/06/18","09:00","-0.217","-","-0.195"
"2022/06/18","10:00","0.052","-","0.069"
"2022/06/18","11:00","0.407","-","0.427"
"2022/06/18","12:00","0.77","-","0.814"
"2022/06/18","13:00","1.071","-","1.115"
"2022/06/18","14:00","1.261","-","1.284"
"2022/06/18","15:00","1.323","-","1.335"
"2022/06/18","16:00","1.272","-","1.271"
"2022/06/18","17:00","1.148","-","1.156"
"2022/06/18","18:00","1.009","-","1.016"
"2022/06/18","19:00","0.911","-","0.904"
"2022/06/18","20:00","0.895","-","0.904"
"2022/06/18","21:00","0.974","-","0.975"
"2022/06/18","22:00","1.134","-","1.124"
"2022/06/18","23:00","1.331","-","1.301"
"2022/06/19","00:00","1.508","-","1.477"
"2022/06/19","01:00","1.606","-","1.609"
"2022/06/19","02:00","1.581","-","1.578"
"2022/06/19","03:00","1.417","-","1.417"
"2022/06/19","04:00","1.128","-","1.115"
"2022/06/19","05:00","0.758","-","0.754"
"2022/06/19","06:00","0.376","-","0.379"
"2022/06/19","07:00","0.056","-","0.049"
"2022/06/19","08:00","-0.141","-","-0.144"
"2022/06/19","09:00","-0.176","-","-0.185"
"2022/06/19","10:00","-0.046","-","-0.073"
"2022/06/19","11:00","0.217","-","0.2"
"2022/06/19","12:00","0.555","-","0.54"
"2022/06/19","13:00","0.898","-","0.911"
"2022/06/19","14:00","1.178","-","1.141"
"2022/06/19","15:00","1.349","-","1.303"
"2022/06/19","16:00","1.393","-","1.336"
"2022/06/19","17:00","1.324","-","1.264"
"2022/06/19","18:00","1.179","-","1.121"
"2022/06/19","19:00","1.014","-","0.958"
"2022/06/19","20:00","0.882","-","0.815"
"2022/06/19","21:00","0.822","-","0.765"
"2022/06/19","22:00","0.853","-","0.821"
"2022/06/19","23:00","0.965","-","0.939"
"2022/06/20","00:00","1.125","-","1.092"
"2022/06/20","01:00","1.282","-","1.249"
"2022/06/20","02:00","1.383","-","1.385"
"2022/06/20","03:00","1.385","-","1.378"
"2022/06/20","04:00","1.267","-","1.278"
"2022/06/20","05:00","1.039","-","1.042"
"2022/06/20","06:00","0.74","-","0.742"
"2022/06/20","07:00","0.429","-","0.428"
"2022/06/20","08:00","0.17","-","0.162"
"2022/06/20","09:00","0.019","-","0.02"
"2022/06/20","10:00","0.01","-","0.017"
"2022/06/20","11:00","0.148","-","0.167"
"2022/06/20","12:00","0.404","-","0.449"
"2022/06/20","13:00","0.726","-","0.751"
"2022/06/20","14:00","1.048","-","1.073"
"2022/06/20","15:00","1.306","-","1.327"
"2022/06/20","16:00","1.453","-","1.46"
"2022/06/20","17:00","1.471","-","1.49"
"2022/06/20","18:00","1.373","-","1.394"
"2022/06/20","19:00","1.197","-","1.216"
"2022/06/20","20:00","0.994","-","1.019"
"2022/06/20","21:00","0.817","-","0.85"
"2022/06/20","22:00","0.708","-","0.746"
"2022/06/20","23:00","0.691","-","0.737"
"2022/06/21","00:00","0.763","-","0.811"
"2022/06/21","01:00","0.898","-","0.977"
"2022/06/21","02:00","1.051","-","1.133"
"2022/06/21","03:00","1.169","-","1.247"
"2022/06/21","04:00","1.208","-","1.309"
"2022/06/21","05:00","1.143","-","1.254"
"2022/06/21","06:00","0.981","-","1.064"
"2022/06/21","07:00","0.752","-","0.856"
"2022/06/21","08:00","0.508","-","0.609"
